Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599232818,Device: id=1,TX,4.5316361084073,9275.4426577202,10000.504435065,9087660,2325773440
1599232819,Device: id=1,TX,4.5315995877598,9275.4123354727,10000.468269514,13619420,3485241024
1599232820,Device: id=1,TX,4.5316645135348,9275.4241245987,10000.490446764,18151807,4644853888
1599232821,Device: id=1,TX,4.5316627715727,9275.4253423946,10000.491385846,22683485,5804285952
1599232822,Device: id=1,TX,4.5316638401243,9275.4144777149,10000.480692135,27215380,6963771904
1599232823,Device: id=1,TX,4.5316492127053,9275.4251804342,10000.489054467,31747440,8123305152
1599232824,Device: id=1,TX,4.531663652604,9275.4194592163,10000.485643633,36280395,9283062976
1599232825,Device: id=1,TX,4.5316475624736,9275.4278605924,10000.491470588,40812383,10442578560
1599232826,Device: id=1,TX,4.5316556422599,9275.4183690743,10000.483271836,45345296,11602327552
1599232827,Device: id=1,TX,4.5316586326902,9275.4206958654,10000.486077096,49877604,12761921280
1599232828,Device: id=1,TX,4.5316746377004,9275.422964001,10000.490906033,54409673,13921450048
1599232829,Device: id=1,TX,4.5316908771531,9275.4145296809,10000.485070025,58941573,15080930368
1599232830,Device: id=1,TX,4.5316670654182,9275.4211296013,10000.487860068,63473510,16240427072
1599232831,Device: id=1,TX,4.531664037518,9275.4231259926,10000.489371995,68005449,17399925312
1599232832,Device: id=1,TX,4.5316541309833,9275.41838018,10000.483041137,72537532,18559462336
1599232833,Device: id=1,TX,4.5316661129143,9275.4191630964,10000.485741163,77070309,19719173952
1599232834,Device: id=1,TX,4.5316367660586,9275.4306626886,10000.492545258,81602140,20878652480
1599232835,Device: id=1,TX,4.5316350609832,9275.4252862207,10000.486895978,86134540,22038276352
1599232836,Device: id=1,TX,4.5316326849521,9275.4251436237,10000.486373216,90666603,23197814592
1599232837,Device: id=1,TX,4.5316543588195,9275.4191222133,10000.483819624,95198917,24357410752
1599232838,Device: id=1,TX,4.5316687844265,9275.4315196725,10000.498525181,99731462,25517063872
1599232839,Device: id=1,TX,4.5316554966326,9275.4219436167,10000.486823078,100013243,25589155712
