Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599232582,Device: id=0,RX,6.7102887333719,3435.6762664536,4509.3224637931,13577995,868992768
1599232583,Device: id=0,RX,6.7623478099826,3462.3134779483,4544.2891275455,20421513,1306976832
1599232584,Device: id=0,RX,6.7657895418916,3464.0842454485,4546.6105721512,27231750,1742832000
1599232585,Device: id=0,RX,6.748013596576,3454.983978896,4534.6661543482,34023211,2177485632
1599232586,Device: id=0,RX,6.7419572068092,3451.8815807874,4530.5947338769,40803587,2611429632
1599232587,Device: id=0,RX,6.729268335499,3445.3955430839,4522.0784767637,47588975,3045695744
1599232588,Device: id=0,RX,6.7323346453744,3446.9543220124,4524.1278652723,54371521,3479778560
1599232589,Device: id=0,RX,6.7673658356095,3464.889275089,4547.6678087866,61189680,3916140480
1599232590,Device: id=0,RX,6.7614899505153,3461.885410676,4543.7238027585,67961719,4349551296
1599232591,Device: id=0,RX,6.7512986622385,3456.6547084095,4536.8624943677,74735073,4783044672
1599232592,Device: id=0,RX,6.7436487560851,3452.776103635,4531.7599046086,81531695,5218032000
1599232593,Device: id=0,RX,6.7292279966118,3445.339311981,4522.0157914388,88307964,5651710016
1599232594,Device: id=0,RX,6.7268099255756,3444.1241376813,4520.4137257734,95076513,6084896832
1599232595,Device: id=0,RX,6.772246225266,3467.3900673362,4550.9494633787,101900106,6521606784
1599232596,Device: id=0,RX,6.764630356466,3463.4907425106,4545.8315995451,108700578,6956836992
1599232597,Device: id=0,RX,6.7488626061906,3455.4196866786,4535.2377036691,115501547,7392099264
1599232598,Device: id=0,RX,6.7408162606026,3451.2958880352,4529.8264897316,122277456,7825757184
1599232599,Device: id=0,RX,6.7300915638692,3445.8068807011,4522.6215309201,129070872,8260535808
1599232600,Device: id=0,RX,6.7270161835924,3444.2322859993,4520.5548753741,135837828,8693620992
1599232601,Device: id=0,RX,6.7628173107186,3462.5624630879,4544.6132328029,142636536,9128738304
1599232602,Device: id=0,RX,6.7476859352355,3454.8147426314,4534.4444922691,146623183,9383883712
