Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599233092,Device: id=0,RX,0,0,0,0,0
1599233093,Device: id=0,RX,0,0,0,0,0
1599233094,Device: id=0,RX,0,0,0,0,0
1599233095,Device: id=0,RX,0,0,0,0,0
1599233096,Device: id=0,RX,0,0,0,0,0
1599233097,Device: id=0,RX,0,0,0,0,0
1599233098,Device: id=0,RX,0,0,0,0,0
1599233099,Device: id=0,RX,0,0,0,0,0
1599233100,Device: id=0,RX,0,0,0,0,0
1599233101,Device: id=0,RX,0,0,0,0,0
1599233102,Device: id=0,RX,0,0,0,0,0
1599233103,Device: id=0,RX,0,0,0,0,0
1599233104,Device: id=0,RX,0,0,0,0,0
1599233105,Device: id=0,RX,0,0,0,0,0
1599233106,Device: id=0,RX,0,0,0,0,0
1599233107,Device: id=0,RX,0,0,0,0,0
1599233108,Device: id=0,RX,0,0,0,0,0
1599233109,Device: id=0,RX,0,0,0,0,0
1599233110,Device: id=0,RX,0,0,0,0,0
1599233111,Device: id=0,RX,0,0,0,0,0
1599233112,Device: id=0,RX,0,0,0,0,0
1599233113,Device: id=0,RX,0,0,0,0,0
1599233114,Device: id=0,RX,0,0,0,0,0
1599233115,Device: id=0,RX,0,0,0,0,0
1599233116,Device: id=0,RX,0,0,0,0,0
1599233117,Device: id=0,RX,0,0,0,0,0
1599233118,Device: id=0,RX,0,0,0,0,0
