Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599232462,Device: id=1,TX,14.881704423826,7619.4377112731,10000.510419085,46482580,2974886784
1599232462,Device: id=1,TX,14.881676325505,7619.4167426795,10000.48495476,61364459,3927326848
1599232463,Device: id=1,TX,14.88169086226,7619.4262318187,10000.49676978,76294512,4882850304
1599232464,Device: id=1,TX,14.881675902899,7619.4170443421,10000.485188806,91264751,5840945472
1599232466,Device: id=1,TX,14.881692776551,7619.4256813037,10000.496525552,106200551,6796836544
1599232467,Device: id=1,TX,14.88168094752,7619.4206451304,10000.489596734,121215631,7757801664
1599232468,Device: id=1,TX,14.881805839433,7619.544042233,10000.632976542,136210468,8717478720
1599232469,Device: id=1,TX,14.881565345196,7619.2943236292,10000.344778861,151191983,9676287232
1599232470,Device: id=1,TX,14.881683760217,7619.4220852311,10000.491486866,166213007,10637632768
1599232471,Device: id=1,TX,14.881688989566,7619.424762658,10000.495000989,181191280,11596242240
1599232472,Device: id=1,TX,14.881688605219,7619.4245658722,10000.494742707,196204814,12557108416
1599232473,Device: id=1,TX,14.881689970808,7619.4247570696,10000.495152399,211204149,13517065792
1599232474,Device: id=1,TX,14.881686225945,7619.4233476839,10000.493143835,226252935,14480188096
1599232475,Device: id=1,TX,14.881687667543,7619.424595374,10000.494622181,241204938,15437116352
1599232476,Device: id=1,TX,14.881689144198,7619.4243312938,10000.494594366,256129308,16392275968
1599232477,Device: id=1,TX,14.881685145,7619.4227942402,10000.49241744,271149382,17353560704
1599232478,Device: id=1,TX,14.881690464077,7619.4255176076,10000.49599186,286136974,18312766592
1599232479,Device: id=1,TX,14.881687540198,7619.4245299651,10000.494536397,301095102,19270086848
1599232480,Device: id=1,TX,14.881686485064,7619.4234803527,10000.493317963,316089523,20229729792
1599232481,Device: id=1,TX,14.88169650523,7619.4281034186,10000.499544255,331110297,21191059264
1599232482,Device: id=1,TX,14.881681349181,7619.4218628763,10000.490878745,346167020,22154689664
1599232483,Device: id=1,TX,14.88168773226,7619.4231070714,10000.493144233,361227463,23118557888
1599232483,Device: id=1,TX,14.881686551613,7619.4229786596,10000.492826918,365221113,23374151232
