Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599233369,Device: id=1,TX,0.81385308996269,9870.2748240766,10000.491318471,1632911,2477113098
1599233370,Device: id=1,TX,0.81383245633507,9870.260202917,10000.473395931,2446902,3711135978
1599233371,Device: id=1,TX,0.81386744181648,9870.4855003512,10000.704291042,3261280,4945720664
1599233372,Device: id=1,TX,0.81384867757505,9870.0345100246,10000.250298437,4075261,6179675572
1599233373,Device: id=1,TX,0.81386118086509,9870.2672959715,10000.48508491,4889657,7414269750
1599233374,Device: id=1,TX,0.81386239331254,9870.2671087801,10000.48509171,5703884,8648605868
1599233375,Device: id=1,TX,0.8138603497003,9870.2567462523,10000.474402204,6518314,9883251530
1599233376,Device: id=1,TX,0.813866186385,9870.2689913672,10000.487581189,7332687,11117803460
1599233377,Device: id=1,TX,0.81386989215812,9870.2656940665,10000.484876812,8146954,12352188666
1599233378,Device: id=1,TX,0.81387046067487,9870.26199774,10000.481271448,8961284,13586668052
1599233379,Device: id=1,TX,0.8138655282667,9870.2624002832,10000.480884806,9775742,14821349012
1599233380,Device: id=1,TX,0.81387181735846,9870.2657400167,10000.485230794,10590006,16055726756
1599233381,Device: id=1,TX,0.81387614849416,9870.2638497762,10000.484033535,11404495,17290438780
1599233382,Device: id=1,TX,0.81387484839733,9870.2633804163,10000.48335616,12218471,18524375042
1599233383,Device: id=1,TX,0.81387171122278,9870.2585435347,10000.47801733,13032407,19758254818
1599233384,Device: id=1,TX,0.81387977539,9870.2714567785,10000.492220841,13846774,20992777348
1599233385,Device: id=1,TX,0.81388291441892,9870.2629152621,10000.484181569,14661196,22227377424
1599233386,Device: id=1,TX,0.81388144488051,9870.2518657778,10000.472896959,15475295,23461488704
1599233387,Device: id=1,TX,0.81387946928025,9870.2677129517,10000.488428037,16289691,24696055192
1599233388,Device: id=1,TX,0.8138869419872,9870.2618545007,10000.483765219,17103878,25930292786
1599233389,Device: id=1,TX,0.81388863834483,9870.2645328411,10000.486714976,17918386,27165014750
1599233390,Device: id=1,TX,0.81388824671979,9870.2601340986,10000.482253574,18732915,28399768592
1599233391,Device: id=1,TX,0.81388506820334,9870.2627312037,10000.484342116,19547092,29633993978
1599233392,Device: id=1,TX,0.81389279850963,9870.2602352174,10000.483082979,20361138,30868008746
1599233393,Device: id=1,TX,0.81389322851074,9870.2598190264,10000.482735588,21175511,32102518510
1599233394,Device: id=1,TX,0.81389235547796,9870.260521519,10000.483298396,21989864,33336999368
1599233395,Device: id=1,TX,0.8138739989714,9870.262629627,10000.482469462,22133183,33554260994
