Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599232983,Device: id=0,RX,4.5316350797253,9275.4394101349,10000.501022891,9257437,2369219264
1599232984,Device: id=0,RX,4.5316779428201,9275.4045717766,10000.473042628,13790295,3528946752
1599232985,Device: id=0,RX,4.531522873285,9275.1680318658,10000.211691591,18322278,4688460480
1599232986,Device: id=0,RX,4.5316249866393,9275.4277366748,10000.487734537,22854273,5847983616
1599232987,Device: id=0,RX,4.5316362206864,9275.424725467,10000.486520777,27385924,7007415488
1599232988,Device: id=0,RX,4.531635065711,9275.4211682922,10000.482778806,31918729,8167142464
1599232989,Device: id=0,RX,4.531648287186,9275.4179604923,10000.481686442,36450616,9326630784
1599232990,Device: id=0,RX,4.5316706921103,9275.4181770084,10000.485487746,40983292,10486315264
1599232991,Device: id=0,RX,4.5316799777784,9275.4198654699,10000.488661914,45516040,11646016000
1599232992,Device: id=0,RX,4.5316732519266,9275.4135160662,10000.481236374,50047720,12805444416
1599232993,Device: id=0,RX,4.5316846272018,9275.4143235446,10000.483863897,54580291,13965097984
1599232994,Device: id=0,RX,4.5317011112663,9275.4142712462,10000.486449049,59113278,15124853760
1599232995,Device: id=0,RX,4.5315669095891,9275.1114870135,10000.162192548,63645048,16284294656
1599232996,Device: id=0,RX,4.5316785268357,9275.4223562223,10000.490920516,68176804,17443742272
1599232997,Device: id=0,RX,4.5316826675741,9275.413932116,10000.483158928,72708981,18603295488
1599232998,Device: id=0,RX,4.5316469805633,9275.3539143877,10000.417431278,77240922,19762789952
1599232999,Device: id=0,RX,4.5316486747449,9275.3764025096,10000.440190469,80760486,20663265984
