Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599233053,Device: id=0,RX,4.5316283087466,9275.4526282552,10000.513157655,9209076,2356843200
1599233054,Device: id=0,RX,4.5316372745961,9275.3625200339,10000.424483969,13741706,3516517504
1599233055,Device: id=0,RX,4.5316509850861,9275.3964516389,10000.460609253,18274535,4676243456
1599233056,Device: id=0,RX,4.5316790048706,9275.43360198,10000.502242759,22806740,5835807232
1599233057,Device: id=0,RX,4.5316520751273,9275.4109759062,10000.475307927,27339576,6995536512
1599233058,Device: id=0,RX,4.5316734960186,9275.4372038798,10000.504963243,31871807,8155108800
1599233059,Device: id=0,RX,4.5316776411938,9275.4107516134,10000.479174204,36404359,9314758848
1599233060,Device: id=0,RX,4.5316716181447,9275.4239353485,10000.491394252,40936415,10474285184
1599233061,Device: id=0,RX,4.5316668502073,9275.4339870327,10000.500683066,45468769,11633890240
1599233062,Device: id=0,RX,4.5316712483828,9275.4283880169,10000.495787758,50000900,12793436416
1599233063,Device: id=0,RX,4.5316840660003,9275.4310191257,10000.500469686,54533411,13953076864
1599233064,Device: id=0,RX,4.5313865515629,9274.8247407599,9999.84658901,59065591,15112632960
1599233065,Device: id=0,RX,4.5316835553615,9275.4333618936,10000.502730751,63598365,16272341120
1599233066,Device: id=0,RX,4.5316856730466,9275.4195766229,10000.48928431,68130970,17432003776
1599233067,Device: id=0,RX,4.5316619456352,9275.4159425762,10000.481853878,72663051,18591537984
1599233068,Device: id=0,RX,4.5316549134369,9275.4074066333,10000.472192783,77195321,19751121280
1599233069,Device: id=0,RX,4.5316659508549,9275.4372588751,10000.503811012,81728098,20910835200
1599233070,Device: id=0,RX,4.5316741337043,9275.4362225668,10000.50408396,86260984,22070574784
1599233071,Device: id=0,RX,4.5316360256044,9275.3596750994,10000.421439196,90792946,23230078144
1599233072,Device: id=0,RX,4.5316728263119,9275.4357033926,10000.503355603,95325496,24389732032
1599233073,Device: id=0,RX,4.5313779121231,9274.8286333083,9999.849099248,99857739,25549306944
1599233074,Device: id=0,RX,4.5316788911796,9275.4340842282,10000.502706817,104390113,26708914048
1599233075,Device: id=0,RX,4.5313668697514,9274.7703546283,9999.7890537885,108922061,27868409024
1599233076,Device: id=0,RX,4.5316624992508,9275.4113962175,10000.477396098,113454956,29028150784
1599233077,Device: id=0,RX,4.5316292177153,9275.3383996251,10000.39907446,117956595,30179906688
