Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599232502,Device: id=1,TX,14.88165003594,7619.4093675483,10000.473373299,26060352,1667864064
1599232503,Device: id=1,TX,14.881633989752,7619.3950893811,10000.456527741,41164499,2634529280
1599232504,Device: id=1,TX,14.881643501152,7619.4004636829,10000.463423867,56268771,3601202560
1599232505,Device: id=1,TX,14.881642409708,7619.4014248005,10000.464210354,71178654,4555435136
1599232506,Device: id=1,TX,14.881646726824,7619.4036359045,10000.467112196,86066966,5508287168
1599232507,Device: id=1,TX,14.881642888547,7619.4006489393,10000.463511107,101007057,6464452928
1599232508,Device: id=1,TX,14.88164494116,7619.4022098741,10000.46540046,115907966,7418111104
1599232509,Device: id=1,TX,14.881643074226,7619.401759966,10000.464651842,130967188,8381901376
1599232510,Device: id=1,TX,14.881638798781,7619.4000849372,10000.462292742,145907752,9338097600
1599232511,Device: id=1,TX,14.881643952459,7619.4001735047,10000.463205898,160846251,10294161344
1599232512,Device: id=1,TX,14.881639961408,7619.4037485172,10000.466142342,175756006,11248386176
1599232513,Device: id=1,TX,14.881646413149,7619.4019526984,10000.465378802,190831490,12213217024
1599232514,Device: id=1,TX,14.881642385727,7619.3973241997,10000.460105916,205741035,13167427456
1599232515,Device: id=1,TX,14.881642920278,7619.4016804772,10000.464547722,220820154,14132491136
1599232516,Device: id=1,TX,14.881640612863,7619.4010158882,10000.463513946,235729427,15086684736
1599232517,Device: id=1,TX,14.881645378704,7619.4008998075,10000.4641604,250629613,16040296448
1599232518,Device: id=1,TX,14.881641853153,7619.4016510591,10000.464347563,265536804,16994356800
1599232519,Device: id=1,TX,14.881647862607,7619.4037056546,10000.467363672,280612114,17959176640
1599232520,Device: id=1,TX,14.881640887784,7619.4006454614,10000.463187507,295525335,18913622848
1599232521,Device: id=1,TX,14.881643955409,7619.4006961075,10000.463728973,310627283,19880147392
1599232522,Device: id=1,TX,14.881638043522,7619.3976554962,10000.45974246,325526569,20833701568
1599232523,Device: id=1,TX,14.881644445441,7619.4034723119,10000.466583582,340602093,21798535296
1599232524,Device: id=1,TX,14.881642619174,7619.4009494604,10000.463768528,351750166,22512010624
