Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599232462,Device: id=0,RX,7.0062060070163,3587.1799447592,4708.1729058818,12645781,809331200
1599232463,Device: id=0,RX,6.7388933413565,3450.3133907745,4528.5363253916,19448931,1244732800
1599232464,Device: id=0,RX,6.7335658264396,3447.5841724838,4524.9547047141,26206018,1677186176
1599232465,Device: id=0,RX,6.727895674816,3444.6744486293,4521.1377565999,32979492,2110687488
1599232466,Device: id=0,RX,6.7136746184857,3437.4100834268,4511.5980223845,39712690,2541613248
1599232467,Device: id=0,RX,6.7249133104212,3443.159166943,4519.1452966104,46498174,2975884672
1599232468,Device: id=0,RX,6.7572402973302,3459.694848282,4540.8532958548,53313120,3412039680
1599232469,Device: id=0,RX,6.754524888484,3458.32895552,4539.0529376774,60109338,3846999168
1599232470,Device: id=0,RX,6.7335382331417,3447.5593985583,4524.925515861,66904362,4281879168
1599232471,Device: id=0,RX,6.7284129915063,3444.9571150434,4521.5031936844,73677760,4715377856
1599232472,Device: id=0,RX,6.7157114107398,3438.4447499144,4512.9585756327,80451477,5148895808
1599232473,Device: id=0,RX,6.7312654062754,3446.397728168,4523.4001931721,87235848,5583094272
1599232474,Device: id=0,RX,6.7560707679555,3459.1082331932,4540.0795560661,94060449,6019868736
1599232475,Device: id=0,RX,6.7474232729601,3454.6898798997,4534.2776035733,100846053,6454148544
1599232476,Device: id=0,RX,6.7299964907601,3445.7490116761,4522.5484501977,107593920,6886010880
1599232477,Device: id=0,RX,6.7198715541064,3440.5742357025,4515.7536843595,114380784,7320370176
1599232478,Device: id=0,RX,6.712201630753,3436.6472349455,4510.599495866,121134573,7752612672
1599232479,Device: id=0,RX,6.7342612976569,3447.9417844003,4525.4235920255,127906569,8186020416
1599232480,Device: id=0,RX,6.7521983142713,3457.1255369069,4537.4772671903,134708238,8621327232
1599232481,Device: id=0,RX,6.7466325387765,3454.2773816776,4533.7385878819,141517716,9057134016
1599232482,Device: id=0,RX,6.7290097441561,3445.2529890079,4521.8945480729,148327323,9492948864
1599232483,Device: id=0,RX,6.7223958474826,3441.8752769191,4517.4586125164,155128634,9928233856
1599232483,Device: id=0,RX,6.7337951170417,3447.7031248606,4525.1103435873,156735997,10031103808
