Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599232983,Device: id=1,TX,4.5316898544664,9275.4179155442,10000.488292259,9148948,2341446336
1599232984,Device: id=1,TX,4.5316099338295,9275.4013058573,10000.45889527,13681619,3501142976
1599232985,Device: id=1,TX,4.5316442090818,9275.4109553238,10000.474028777,18214203,4660809792
1599232986,Device: id=1,TX,4.5316214794121,9275.4234055042,10000.48284221,22746877,5820507008
1599232987,Device: id=1,TX,4.5316281110588,9275.4086600737,10000.469157843,27279411,6980164864
1599232988,Device: id=1,TX,4.5316320369004,9275.416681343,10000.477807247,31811933,8139819648
1599232989,Device: id=1,TX,4.5316408513058,9275.4010132739,10000.463549483,36344089,9299376576
1599232990,Device: id=1,TX,4.5316670336072,9275.4090654368,10000.475790814,40876692,10459042176
1599232991,Device: id=1,TX,4.5316756489927,9275.4136732197,10000.481777059,45409105,11618657536
1599232992,Device: id=1,TX,4.5316680351762,9275.411710418,10000.478596046,49941351,12778231872
1599232993,Device: id=1,TX,4.5316813242831,9275.3998022486,10000.468814134,54474277,13937975296
1599232994,Device: id=1,TX,4.5316959100029,9275.4008859307,10000.472231531,59006274,15097477440
1599232995,Device: id=1,TX,4.5317058872482,9275.3962036805,10000.46914564,63539095,16257187264
1599232996,Device: id=1,TX,4.5316755984204,9275.417216445,10000.485312192,68071986,17416925376
1599232997,Device: id=1,TX,4.5316756274154,9275.4010654447,10000.469165831,72604169,18576480320
1599232998,Device: id=1,TX,4.5316713203339,9275.4066575594,10000.474068813,77136413,19736052672
1599232999,Device: id=1,TX,4.5316595338046,9275.4078867839,10000.473412193,80764991,20664419264
