Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599233253,Device: id=0,RX,0.81371309819008,9867.9366175672,9998.1307132776,1566349,2375949846
1599233254,Device: id=0,RX,0.81394280701324,9870.2499485907,10000.480797713,2380376,3609858710
1599233255,Device: id=0,RX,0.81394521637659,9870.2655908744,10000.496825495,3194955,4844602602
1599233256,Device: id=0,RX,0.81395104260922,9870.2749763576,10000.507143175,4009297,6078979586
1599233257,Device: id=0,RX,0.81395295627554,9870.2728821411,10000.505355145,4823552,7313221532
1599233258,Device: id=0,RX,0.81395173895416,9870.2643669934,10000.496645226,5637531,8547045900
1599233259,Device: id=0,RX,0.81395195626522,9870.2826547487,10000.514967751,6451680,9781129910
1599233260,Device: id=0,RX,0.81396003823543,9870.2756439205,10000.509250038,7265838,11015214432
1599233261,Device: id=0,RX,0.81395958777042,9870.263916522,10000.497450565,8080298,12249755936
1599233262,Device: id=0,RX,0.81395728720897,9870.2752231571,10000.508389111,8894346,13483677840
1599233263,Device: id=0,RX,0.81396147425425,9870.2600069494,10000.49384283,9708636,14717958312
1599233264,Device: id=0,RX,0.81396343513132,9870.2729675239,10000.507117145,10522914,15952219242
1599233265,Device: id=0,RX,0.81396484992141,9870.2657021862,10000.500078174,11337184,17186464992
1599233266,Device: id=0,RX,0.81396058526128,9870.2749081199,10000.508601762,12151553,18420868422
1599233267,Device: id=0,RX,0.81396970078415,9870.2634126836,10000.498564809,12965657,19654854914
1599233268,Device: id=0,RX,0.81396884780258,9870.2802680153,10000.515283664,13779924,20889091876
1599233269,Device: id=0,RX,0.81396752948875,9870.2660403987,10000.500845117,14594318,22123521560
1599233270,Device: id=0,RX,0.81396725549244,9870.263879537,10000.498640416,15408777,23358049914
1599233271,Device: id=0,RX,0.81397263230929,9870.2780242835,10000.513645453,16222982,24592186880
1599233272,Device: id=0,RX,0.8139713848093,9870.2670134996,10000.502435069,17037388,25826629028
1599233273,Device: id=0,RX,0.8139703096393,9870.2624100943,10000.497659637,17851673,27060888824
1599233274,Device: id=0,RX,0.81397604308217,9870.2750457491,10000.511212642,18665999,28295203652
1599233275,Device: id=0,RX,0.81398253133068,9870.261882226,10000.499087239,19480390,29529605518
1599233276,Device: id=0,RX,0.813979183632,9870.2655008453,10000.502170226,20294654,30763820414
1599233277,Device: id=0,RX,0.81397972338823,9870.2744526918,10000.511208434,21109023,31998194764
1599233277,Device: id=0,RX,0.81396367154316,9870.2690299212,10000.503217368,21227694,32178068224
