Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599233330,Device: id=1,TX,0.81284344688119,9870.440962916,10000.495914417,1435023,2178273376
1599233331,Device: id=1,TX,0.81284318356268,9870.4651156747,10000.520025045,2255427,3423558018
1599233332,Device: id=1,TX,0.81284602415715,9870.4708137096,10000.526177575,3069954,4659918402
1599233333,Device: id=1,TX,0.81284235647256,9870.426916235,10000.481693271,3885194,5897361120
1599233334,Device: id=1,TX,0.81284369130207,9870.4420822712,10000.49707288,4699272,7133039922
1599233335,Device: id=1,TX,0.81284373645711,9870.4424723678,10000.497470201,5513174,8368451556
1599233336,Device: id=1,TX,0.81284517544181,9870.4485384021,10000.503766473,6327865,9605059374
1599233337,Device: id=1,TX,0.81284399797135,9870.4463630279,10000.501402703,7142563,10841679336
1599233338,Device: id=1,TX,0.81284253106801,9870.4406392545,10000.495444225,7957230,12078253758
1599233339,Device: id=1,TX,0.81284483048166,9870.4564435647,10000.511616442,8771896,13314825144
1599233340,Device: id=1,TX,0.81285731966113,9870.6807869907,10000.737958136,9586542,14551375278
1599233341,Device: id=1,TX,0.81282824023786,9870.1582752617,10000.2107937,10401426,15788265444
1599233342,Device: id=1,TX,0.81284404832831,9870.4472445493,10000.502292282,11216425,17025342324
1599233343,Device: id=1,TX,0.81284434936708,9870.4507879782,10000.505883877,12031299,18262229454
1599233344,Device: id=1,TX,0.81284366165678,9870.4426666178,10000.497652483,12846429,19499505192
1599233345,Device: id=1,TX,0.81284392551805,9870.4439561725,10000.498984255,13659429,20733547590
1599233346,Device: id=1,TX,0.8128442862573,9870.4500261151,10000.505111916,14474308,21970442310
1599233347,Device: id=1,TX,0.81284385618622,9870.4446143924,10000.499631382,15288976,23207016732
1599233348,Device: id=1,TX,0.81284405296429,9870.4470002982,10000.502048772,16103640,24443585082
1599233349,Device: id=1,TX,0.81284419024428,9870.4488853358,10000.503955775,16918547,25680522306
1599233350,Device: id=1,TX,0.81284408909227,9870.4467994092,10000.501853664,17732499,26916009840
1599233351,Device: id=1,TX,0.81284381333681,9870.4441811161,10000.49919125,18547264,28152731508
1599233352,Device: id=1,TX,0.81284394244914,9870.4456035487,10000.500634341,19361867,29389207260
1599233353,Device: id=1,TX,0.81284375423252,9870.4437540162,10000.498754693,20176956,30626420760
1599233354,Device: id=1,TX,0.81284371928503,9870.4550952717,10000.510090357,20991654,31863042240
1599233355,Device: id=1,TX,0.81284498197724,9870.4457034653,10000.500900582,21805813,33098842482
1599233356,Device: id=1,TX,0.81284391030835,9870.4453906018,10000.500416251,22056634,33479559680
