Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599232620,Device: id=1,TX,14.88186641347,7619.5568277885,10000.655453944,30413962,1946501696
1599232620,Device: id=1,TX,14.881495745552,7619.2719452272,10000.311264516,45404702,2905902272
1599232621,Device: id=1,TX,14.881685021636,7619.424264334,10000.493867796,60313014,3860034432
1599232622,Device: id=1,TX,14.881680681968,7619.4174375834,10000.486346698,75196708,4812590464
1599232623,Device: id=1,TX,14.881696833314,7619.4298018909,10000.501295221,90089547,5765732288
1599232624,Device: id=1,TX,14.881687525285,7619.4229897264,10000.492993772,104982584,6718886528
1599232625,Device: id=1,TX,14.881680751128,7619.4195207005,10000.488440881,119866049,7671428160
1599232627,Device: id=1,TX,14.881696533723,7619.4301380573,10000.501583453,134976055,8638468736
1599232628,Device: id=1,TX,14.881689074623,7619.424806207,10000.495058147,149869923,9591676288
1599232629,Device: id=1,TX,14.881684367453,7619.4208601398,10000.490358932,164751647,10544106432
1599232630,Device: id=1,TX,14.881698591257,7619.4316992719,10000.503473873,179835532,11509475328
1599232631,Device: id=1,TX,14.881688942796,7619.4247387118,10000.494969559,194915691,12474605504
1599232632,Device: id=1,TX,14.881693876121,7619.4272645739,10000.498284753,210014700,13440942080
1599232633,Device: id=1,TX,14.881683664555,7619.4225463422,10000.491932671,224952104,14396936000
1599232634,Device: id=1,TX,14.881689672336,7619.4240975013,10000.494445075,239969673,15358060288
1599232635,Device: id=1,TX,14.881690733824,7619.4251441056,10000.495661517,254862646,16311210496
1599232636,Device: id=1,TX,14.881687661175,7619.4245881958,10000.494613984,269930493,17275552768
1599232637,Device: id=1,TX,14.881689599603,7619.4255860147,10000.495921951,284840781,18229811264
1599232638,Device: id=1,TX,14.88169159784,7619.4250860852,10000.49574174,299898802,19193524480
1599232639,Device: id=1,TX,14.88168930937,7619.4244152448,10000.494704744,314805156,20147531072
1599232640,Device: id=1,TX,14.881687549141,7619.4240251604,10000.494033023,329863043,21111235840
1599232641,Device: id=1,TX,14.881691607963,7619.4276173422,10000.498274616,344960329,22077462336
1599232642,Device: id=1,TX,14.881691870448,7619.4247245956,10000.495423867,360067509,23044321664
1599232643,Device: id=1,TX,14.764563435612,7559.4477998225,9921.7779495205,374874242,23991951488
1599232643,Device: id=1,TX,14.876588462901,7616.8104824711,9997.0646365352,374874242,23991951488
