Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599233290,Device: id=0,RX,0,0,0,0,0
1599233291,Device: id=0,RX,0,0,0,0,0
1599233292,Device: id=0,RX,0,0,0,0,0
1599233293,Device: id=0,RX,0,0,0,0,0
1599233294,Device: id=0,RX,0,0,0,0,0
1599233295,Device: id=0,RX,0,0,0,0,0
1599233296,Device: id=0,RX,0,0,0,0,0
1599233297,Device: id=0,RX,0,0,0,0,0
1599233298,Device: id=0,RX,0,0,0,0,0
1599233299,Device: id=0,RX,0,0,0,0,0
1599233300,Device: id=0,RX,0,0,0,0,0
1599233301,Device: id=0,RX,0,0,0,0,0
1599233302,Device: id=0,RX,0,0,0,0,0
1599233303,Device: id=0,RX,0,0,0,0,0
1599233304,Device: id=0,RX,0,0,0,0,0
1599233305,Device: id=0,RX,0,0,0,0,0
1599233306,Device: id=0,RX,0,0,0,0,0
1599233307,Device: id=0,RX,0,0,0,0,0
1599233308,Device: id=0,RX,0,0,0,0,0
1599233309,Device: id=0,RX,0,0,0,0,0
1599233310,Device: id=0,RX,0,0,0,0,0
1599233311,Device: id=0,RX,0,0,0,0,0
1599233312,Device: id=0,RX,0,0,0,0,0
1599233313,Device: id=0,RX,0,0,0,0,0
1599233314,Device: id=0,RX,0,0,0,0,0
1599233315,Device: id=0,RX,0,0,0,0,0
1599233315,Device: id=0,RX,0,0,0,0,0
