Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599232935,Device: id=1,TX,4.5316339597631,9275.4439955681,10000.50542913,9089641,2326281216
1599232936,Device: id=1,TX,4.5315985933164,9275.4288503081,10000.484625239,13621942,3485889536
1599232937,Device: id=1,TX,4.5316621221341,9275.4356923865,10000.501631928,18154826,4645631616
1599232938,Device: id=1,TX,4.5316443450987,9275.4279402244,10000.49103544,22686822,5805150080
1599232939,Device: id=1,TX,4.5316576431303,9275.4228884964,10000.488111397,27218804,6964660928
1599232940,Device: id=1,TX,4.53164061137,9275.4331498836,10000.495647703,31751277,8124303040
1599232941,Device: id=1,TX,4.5316670296982,9275.4253671413,10000.492091893,36282966,9283736832
1599232942,Device: id=1,TX,4.5316510132289,9275.4411179287,10000.505280045,40815428,10443374464
1599232943,Device: id=1,TX,4.5316542211079,9275.4240721118,10000.488747489,45347407,11602885568
1599232944,Device: id=1,TX,4.5316580368378,9275.4221343321,10000.487420226,49880226,12762610368
1599232945,Device: id=1,TX,4.5316705255075,9275.4297138569,10000.496997938,54412562,13922209344
1599232946,Device: id=1,TX,4.5316722236838,9275.4306264952,10000.498182285,58945322,15081916480
1599232947,Device: id=1,TX,4.5316641852958,9275.4282898293,10000.494559477,63477045,16241360064
1599232948,Device: id=1,TX,4.5316583369915,9275.4218014461,10000.487135365,68009071,17400881856
1599232949,Device: id=1,TX,4.5316472453288,9275.4324331851,10000.495992438,72541145,18560420096
1599232950,Device: id=1,TX,4.5316466447523,9275.4322812408,10000.495744401,77073264,19719969984
1599232951,Device: id=1,TX,4.5316429960724,9275.426449787,10000.489329159,81605468,20879541824
1599232952,Device: id=1,TX,4.5316498228097,9275.4378572193,10000.501828869,86137667,22039112064
1599232953,Device: id=1,TX,4.5315942757687,9275.4431226317,10000.498206755,90670472,23198852224
1599232954,Device: id=1,TX,4.531631169388,9275.4265903785,10000.487577481,95203352,24358600064
1599232955,Device: id=1,TX,4.5316555201155,9275.4327079317,10000.49759115,99735621,25518186112
1599232956,Device: id=1,TX,4.5316642747579,9275.4249287124,10000.491212674,104267805,26677747200
1599232957,Device: id=1,TX,4.5316631421536,9275.4325244197,10000.498627164,108799717,27837239936
1599232958,Device: id=1,TX,4.5316562288524,9275.4336645161,10000.498661133,113332001,28996829760
1599232958,Device: id=1,TX,4.5316500090174,9275.4301828027,10000.494184246,114192981,29217109824
