Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599233212,Device: id=1,TX,0.81388423595867,9870.2732430965,10000.49472085,1634853,2480014654
1599233213,Device: id=1,TX,0.8138816842969,9870.1863154674,10000.407384955,2449123,3714376596
1599233214,Device: id=1,TX,0.81390682543691,9870.2225703767,10000.447662447,3263231,4948459372
1599233215,Device: id=1,TX,0.81391272350954,9870.2251251218,10000.451160883,4077386,6182604770
1599233216,Device: id=1,TX,0.81391409206385,9870.2256592143,10000.451913944,4891961,7417384820
1599233217,Device: id=1,TX,0.8139126370067,9870.2214062879,10000.447428209,5705960,8651293410
1599233218,Device: id=1,TX,0.81391020136742,9870.2189408261,10000.444573045,6520182,9885543422
1599233219,Device: id=1,TX,0.81391863456109,9870.2315916896,10000.458573219,7334602,11120082366
1599233220,Device: id=1,TX,0.81391905901348,9870.2167327344,10000.443782177,8148535,12353880590
1599233221,Device: id=1,TX,0.81391873696177,9870.2308224766,10000.457820391,8962838,13588241928
1599233222,Device: id=1,TX,0.81391828204929,9870.2254089859,10000.452334114,9777147,14822612374
1599233223,Device: id=1,TX,0.81392489936301,9870.2189081849,10000.446892083,10591146,16056502062
1599233224,Device: id=1,TX,0.81392672884169,9870.2217304393,10000.450007054,11405370,17290730392
1599233225,Device: id=1,TX,0.81392470803221,9870.2227799197,10000.450733205,12219727,18525163524
1599233226,Device: id=1,TX,0.81392987456705,9870.2287268173,10000.457506748,13034166,19759713862
1599233227,Device: id=1,TX,0.81393275555029,9870.218261329,10000.447502217,13848668,20994354018
1599233228,Device: id=1,TX,0.81393183869674,9870.2151474954,10000.444241687,14662962,22228679884
1599233229,Device: id=1,TX,0.81393142286677,9870.2307167686,10000.459744427,15477104,23462777922
1599233230,Device: id=1,TX,0.81393731383643,9870.2182151964,10000.44818541,16291101,24696645672
1599233231,Device: id=1,TX,0.81394039022299,9870.2183251016,10000.448787537,17105630,25931315182
1599233232,Device: id=1,TX,0.81394046687988,9870.2210661007,10000.451540801,17919599,27165136066
1599233233,Device: id=1,TX,0.81393770621056,9870.2213474003,10000.451380394,18734168,28399870658
1599233234,Device: id=1,TX,0.81394550592187,9870.2192150481,10000.450495996,19548525,29634271802
1599233235,Device: id=1,TX,0.81394829056726,9870.2172572071,10000.448983698,20362834,30868595720
1599233236,Device: id=1,TX,0.81394679767921,9870.2246096514,10000.45609728,21177268,32103112296
1599233237,Device: id=1,TX,0.81394745634676,9870.2205135048,10000.45210652,21991676,33337587950
1599233238,Device: id=1,TX,0.81392636127399,9870.2208557338,10000.449073538,22386311,33935769962
