Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599232538,Device: id=1,TX,14.881714957779,7619.446249388,10000.520642633,29883057,1912517632
1599232539,Device: id=1,TX,14.881677691749,7619.4169303201,10000.485361,44765787,2865012096
1599232540,Device: id=1,TX,14.881678909765,7619.4201137505,10000.488739313,59648900,3817531392
1599232541,Device: id=1,TX,14.881694419856,7619.4265189834,10000.49762616,74530845,4769975744
1599232542,Device: id=1,TX,14.881688697206,7619.4251248735,10000.495316426,89415317,5722582016
1599232543,Device: id=1,TX,14.881692308891,7619.4249261993,10000.495695622,104297466,6675039360
1599232544,Device: id=1,TX,14.881693684985,7619.4287025143,10000.499692112,119181079,7627590784
1599232545,Device: id=1,TX,14.881691230361,7619.4253979554,10000.495994813,134063081,8580038848
1599232546,Device: id=1,TX,14.881687366791,7619.4234198264,10000.493398513,148945629,9532521856
1599232547,Device: id=1,TX,14.881684187083,7619.4228157058,10000.492285639,163829651,10485099328
1599232548,Device: id=1,TX,14.881687905087,7619.4226714142,10000.492736228,178711435,11437533312
1599232549,Device: id=1,TX,14.881692451238,7619.4275588561,10000.498351054,193595709,12390126976
1599232550,Device: id=1,TX,14.881693601586,7619.4296835333,10000.500659787,208480186,13342733824
1599232551,Device: id=1,TX,14.881693839759,7619.4251979645,10000.496212326,223361938,14295165696
1599232552,Device: id=1,TX,14.881675982033,7619.4140424615,10000.482199587,238374315,15255957312
1599232553,Device: id=1,TX,14.881696334125,7619.4326185538,10000.504032014,253257894,16208506880
1599232554,Device: id=1,TX,14.881694116913,7619.4273878595,10000.498446566,268141005,17161025984
1599232555,Device: id=1,TX,14.881685951044,7619.4221829876,10000.491935155,283023465,18113503296
1599232556,Device: id=1,TX,14.881694861624,7619.4287931013,10000.499970961,297905893,19065978816
1599232557,Device: id=1,TX,14.881689609526,7619.4255920213,10000.495929545,312789210,20018511168
1599232558,Device: id=1,TX,14.881690894828,7619.4252262369,10000.495769409,327673377,20971097792
1599232559,Device: id=1,TX,14.881690643099,7619.4250973572,10000.495600253,342557695,21923694080
1599232560,Device: id=1,TX,14.881682185699,7619.4207671692,10000.489916881,357442028,22876291328
1599232561,Device: id=1,TX,14.881693569558,7619.4271076138,10000.498078743,372325378,23828825728
1599232562,Device: id=1,TX,14.881689233751,7619.4259114891,10000.496188889,387209848,24781431936
1599232563,Device: id=1,TX,14.881694838808,7619.4267335559,10000.497907765,402092799,25733940672
1599232564,Device: id=1,TX,14.881689380614,7619.4248208922,10000.49512179,406257997,26000511808
