Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1599233410,Device: id=1,TX,0.81389202051311,9870.2788066169,10000.501529899,1634537,2479523142
1599233410,Device: id=1,TX,0.8138708909223,9870.2663775182,10000.485720066,2448816,3713925110
1599233411,Device: id=1,TX,0.81389552807005,9870.27299152,10000.496276011,3263005,4948154108
1599233412,Device: id=1,TX,0.81390208468455,9870.2813193475,10000.505652897,4077110,6182246870
1599233413,Device: id=1,TX,0.81390169569449,9870.266544315,10000.490815626,4891308,7416479352
1599233414,Device: id=1,TX,0.81390183967057,9870.2718373043,10000.496131652,5705716,8651030614
1599233415,Device: id=1,TX,0.81389959934176,9870.2745722928,10000.498508188,6519829,9885138428
1599233416,Device: id=1,TX,0.81390722727251,9870.2708707203,10000.496027084,7333755,11118950744
1599233417,Device: id=1,TX,0.81390888048465,9870.2776821401,10000.503103018,8148271,12353655772
1599233418,Device: id=1,TX,0.81390735620413,9870.2685295283,10000.493706521,8962652,13588157324
1599233419,Device: id=1,TX,0.81390682027546,9870.2774310763,10000.50252232,9776570,14821958950
1599233420,Device: id=1,TX,0.81391351814953,9870.2644387573,10000.490601661,10591101,16056678024
1599233421,Device: id=1,TX,0.81391504640692,9870.2713486091,10000.497756034,11405632,17291395644
1599233422,Device: id=1,TX,0.8139132471347,9870.279933419,10000.506052961,12219871,18525674434
1599233423,Device: id=1,TX,0.81391452888244,9870.2597081647,10000.486032786,13034118,19759960878
1599233424,Device: id=1,TX,0.81392043237305,9870.2790961672,10000.506365347,13848681,20994719804
1599233425,Device: id=1,TX,0.81391882254435,9870.2638584444,10000.490870052,14662816,22228830480
1599233427,Device: id=1,TX,0.81391787574038,9870.2703960784,10000.497256197,15477324,23463508824
1599233428,Device: id=1,TX,0.81391964745823,9870.279089717,10000.50623331,16291734,24698037014
1599233429,Device: id=1,TX,0.81392487891281,9870.2655860341,10000.49356666,17105786,25932012908
1599233430,Device: id=1,TX,0.81392344824445,9870.2579164702,10000.485668189,17920370,27166796442
1599233431,Device: id=1,TX,0.81392182126093,9870.273373235,10000.500864637,18734296,28400586948
1599233432,Device: id=1,TX,0.81392897573429,9870.2757604442,10000.504396562,19548724,29635127858
1599233433,Device: id=1,TX,0.81393037593468,9870.2689190897,10000.497779239,20363119,30869615766
1599233433,Device: id=1,TX,0.81391150179988,9870.2711991475,10000.497039435,20497131,31072756572
